Turkey,Turkey,TUR,26.68,26.7,27.67,26.67,30,28.61,28.13,28.84,28.78,29.6,28.72,27.16,27.4,26.85
Turkmenistan,Turkmenistan,TKM,23.88,26.28,27.67,21.5,25.57,31.29,29.86,29.84,29.76,28,27.21,26.34,25.76,25.31
Uganda,Uganda,UGA,34.96,36.67,39.98,36.43,38.86,41.65,42.86,42.08,40.82,43.21,41.77,38.55,37.21,35.23
Ukraine,Ukraine,UKR,22.95,21.47,19.64,19.21,19.09,18.42,17.8,17.92,17.52,16.88,15.12,14.7,14.79,14.7
United Arab Emirates,United+Arab+Emirates,ARE,42.26,42.64,42.67,42.09,42.55,45.03,46.58,43.38,40.73,45.19,42.79,43.03,43.21,43.08
United Kingdom,United+Kingdom,GBR,17.02,16,14.76,13.24,12.39,12.95,11.39,11.37,10.83,10.32,10.15,10.29,10.1,10.02
United States,United+States+of+America,USA,13.19,12.73,11.96,10.94,9.23,9.27,8.88,8.65,8.45,8.18,7.39,7.76,7.79,7.68
Uruguay,Uruguay,URY,10.49,10.37,10.18,9.16,9.48,9.74,9.36,10.38,9.93,9.97,9.92,9.58,9.62,9.57
Uzbekistan,Uzbekistan,UZB,36.83,39.31,38.63,32.71,33.61,43.04,40.46,41.04,38.91,36.99,36.67,36.62,36.34,36.35
Venezuela,Venezuela,VEN,20.71,20.56,21.89,21.33,23.46,24.81,22.88,22.95,22.36,22.66,22.27,21.89,22.12,22.22
Viet Nam,Viet+Nam,VNM,26.1,25.37,25.55,26.22,27.12,23.77,23.59,25.18,22.26,21.72,22.42,20.34,20.36,20.19
Zambia,Zambia,ZMB,26.21,25.15,26.73,26.16,27.11,28.21,28.46,27.37,27.44,28.36,27.48,26.25,26.37,25.92
Zimbabwe,Zimbabwe,ZWE,24.46,23.51,23.94,23.64,24.65,26.34,26.36,25.58,26.23,25.98,25.4,22.61,22.11,20.85
